phrasal_type,phrase,ngram,CES,Mturk_result,Multiple_label_yes,Final_edit_yes,CNP_specific_yes,Frequency_over_10_yes
NP,fishing and hiking,3,Recreational,Recreational,,,,
NP,fishing day,2,Recreational,Recreational,,,,
NP,fishing for trout,3,Recreational,Recreational,,,,
NP,fishing place,2,Recreational,Recreational,,,,
NP,fishing trip,2,Recreational,Recreational,,,,
NP,flora and fauna,3,Biological,Biological,,,,Y
NP,flora and vegetation,3,Biological,Biological,,,,
NP,flower and bird,3,Biological,Biological,,,,
NP,flower and plant,3,Biological,Biological,,,,
NP,flower and tree,3,Biological,Biological,,,,
NP,flower and vegetation,3,Biological,Biological,,,,
VP,fly fish,2,Recreational,Recreational,,,,
NP,fly fishing,2,Recreational,Recreational,,,,
NP,fog and cloud,3,Identity,Identity,,,,
NP,fog and rain,3,Biological,Biological,Y,,,
NP,fog and rain,3,Identity,Biological,Y,"added, manually",,
VP,follow trail,2,Recreational,Recreational,,,,
NP,forest of paper,3,Biological,Biological,,,CNP,
NP,forest of Polylepis,3,Biological,Biological,,,CNP,
VP,forget about everyday problem,4,Spiritual,Spiritual,,,,
VP,form ideal landscape for meditation,5,Spiritual,Spiritual,,,,
VP,form unique landscape,3,Aesthetic,Aesthetic,Y,,,
VP,form unique landscape,3,Identity,Aesthetic,Y,"added, second frequent CES",,
VP,foster spiritual peace,3,Spiritual,Spiritual,,,,
VP,free from tension,3,Spiritual,Spiritual,,,,
VP,free from tension of city,5,Spiritual,Spiritual,,,,
NP,freezing at night,3,Identity,Identity,,,,
NP,fresh air,2,Recreational,Recreational,,,,Y
NP,friend and family,3,Social,Social,,,,
NP,friend or family,3,Social,Social,,,,
NP,fun hike,2,Recreational,Recreational,,,,
NP,gem of Ecuador,3,Identity,Identity,,,CNP,
NP,geological formation,2,Identity,Identity,,,,
VP,get away from city,4,Spiritual,Spiritual,,,,
VP,get away from everyday,4,Spiritual,Spiritual,,,,
VP,get away from noise,4,Spiritual,Spiritual,,,,
VP,get great view,3,Aesthetic,Aesthetic,,,,
VP,get in touch with nature,5,Spiritual,Spiritual,,,,
VP,get into nature,3,Spiritual,Spiritual,,,,
VP,get into wild,3,Recreational,Recreational,,,,
VP,get to know andean paramo,5,Educational,Educational,,,CNP,
VP,get to know geography,4,Educational,Educational,,,,
NP,giant hummingbird,2,Biological,Biological,,,,
NP,giant lake,2,Identity,Identity,,,,
NP,gift of God,3,Spiritual,Spiritual,,,,
NP,glaci lake,2,Identity,Identity,,,,
NP,glacial lagoon,2,Identity,Identity,,,,
NP,glacial lake,2,Identity,Identity,,,,
NP,glacial time,2,Educational,Educational,,,,
VP,glimpse lot of bird,4,Biological,Biological,,,,
VP,go around,2,Recreational,Recreational,,,,Y
VP,go around lake,3,Recreational,Recreational,,,,
VP,go as family,3,Social,Social,,,,
VP,go camping,2,Recreational,Recreational,,,,
VP,go camping with friend,4,Recreational,Recreational,,,,
VP,go deep into forest for hiking,6,Recreational,Recreational,,,,
VP,go down for walk,4,Recreational,Recreational,,,,
VP,go family,2,Social,Social,,,,
VP,go family and friend,4,Social,Social,,,,
VP,go fishing,2,Recreational,Recreational,,,,
VP,go for hike,3,Recreational,Recreational,,,,
VP,go for little walk,4,Recreational,Recreational,,,,
VP,go for long walk,4,Recreational,Recreational,,,,
VP,go for lunch,3,Recreational,Recreational,,,,
VP,go for short hike,4,Recreational,Recreational,,,,
VP,go for walk,3,Recreational,Recreational,,,,Y
VP,go for walk with family,5,Social,Social,,,,
VP,go for walk with friend,5,Social,Social,,,,
VP,go into park with friend,5,Social,Social,,,,
VP,go on day trip,4,Recreational,Recreational,,,,
VP,go on family trip,4,Social,Social,,,,
VP,go on fishing trip,4,Recreational,Recreational,,,,
VP,go on hike,3,Recreational,Recreational,,,,
VP,go on motorcycle,3,Recreational,Recreational,,,,
VP,go on shortish hike,4,Recreational,Recreational,,,,
VP,go on superb hike,4,Recreational,Recreational,,,,
VP,go out for walk,4,Recreational,Recreational,,,,
VP,go prepared for fishing,4,Recreational,Recreational,,,,
VP,go small museum,3,Educational,Educational,,,,
VP,go through sanctuary,3,Spiritual,Spiritual,,,,
VP,go through small forest,4,Recreational,Recreational,,,,
VP,go to hike,3,Recreational,Recreational,,,,
VP,go to lake for fishing,5,Recreational,Recreational,,,,
VP,go to park with family,5,Social,Social,,,,
VP,go to rock climb,4,Recreational,Recreational,,,,
VP,go to top of mountain,5,Recreational,Recreational,,,,
VP,go to walk on trail,5,Recreational,Recreational,,,,
VP,go with child,3,Social,Social,,,,
VP,go with family,3,Social,Social,,,CNP,
VP,go with friend,3,Social,Social,,,,
VP,go with whole family,4,Social,Social,,,,
NP,good fishing,2,Recreational,Recreational,,,,
NP,good hike,2,Recreational,Recreational,,,,
NP,good hiking,2,Recreational,Recreational,,,,Y
NP,good hiking experience,3,Recreational,Recreational,,,,
NP,good hiking trail,3,Recreational,Recreational,,,,
NP,good landscape,2,Aesthetic,Aesthetic,,,,Y
NP,good photo,2,Aesthetic,Aesthetic,,,,
NP,good photograph,2,Aesthetic,Aesthetic,,,,
NP,good picture,2,Aesthetic,Aesthetic,,,,
NP,good trail,2,Recreational,Recreational,,,,
NP,good view,2,Aesthetic,Aesthetic,,,,
NP,good walk,2,Recreational,Recreational,,,,
NP,good walking,2,Recreational,Recreational,,,,
NP,good workout,2,Recreational,Recreational,,,,
NP,gorgeous national park,3,Aesthetic,Aesthetic,,,,
NP,gorgeous nature,2,Aesthetic,Aesthetic,,,,
NP,gorgeous park,2,Aesthetic,Aesthetic,,,,
NP,gorgeous place,2,Aesthetic,Aesthetic,,,,
NP,gorgeous scenery,2,Aesthetic,Aesthetic,,,,
NP,gorgeous view,2,Aesthetic,Aesthetic,,,,
NP,gorgeous vista,2,Aesthetic,Aesthetic,,,,
NP,great adventure,2,Recreational,Recreational,,,,
NP,great beauty,2,Aesthetic,Aesthetic,,,,
NP,great charm,2,Aesthetic,Aesthetic,,,,
NP,great day hike,3,Recreational,Recreational,,,,
NP,great hike,2,Recreational,Recreational,,,,Y
NP,great hiking,2,Recreational,Recreational,,,,Y
NP,great landscape,2,Aesthetic,Aesthetic,,,,
NP,great mountain,2,Aesthetic,Aesthetic,,,,
NP,great peace,2,Spiritual,Spiritual,,,,
NP,great photo,2,Aesthetic,Aesthetic,,,,
NP,great photo opportunity,3,Aesthetic,Aesthetic,,,,
NP,great picture,2,Aesthetic,Aesthetic,,,,
NP,great place to take photo,5,Aesthetic,Aesthetic,,,,
NP,great scenery,2,Aesthetic,Aesthetic,,,,
NP,great trail,2,Recreational,Recreational,,,,
NP,great view,2,Aesthetic,Aesthetic,,,,Y
NP,great walk,2,Recreational,Recreational,,,,
NP,greatness of nature,3,Aesthetic,Aesthetic,,,,
NP,green mountain,2,Aesthetic,Aesthetic,,,,
VP,grill trout,2,Recreational,Recreational,,,CNP,
NP,group of friend,3,Social,Social,,,,
VP,hang around lake,3,Recreational,Recreational,,,,
NP,hard hike,2,Recreational,Recreational,,,,
NP,harlequin frog,2,Biological,Biological,,,,
VP,have amazing scenery,3,Aesthetic,Aesthetic,,,,
VP,have amazing view,3,Aesthetic,Aesthetic,,,,
VP,have beautiful andean landscape,4,Aesthetic,Aesthetic,,,CNP,
VP,have beautiful lagoon,3,Aesthetic,Aesthetic,,,,
VP,have beautiful landscape,3,Aesthetic,Aesthetic,,,,
VP,have chapel,2,Spiritual,Spiritual,,,,
VP,have day trip,3,Recreational,Recreational,,,,
VP,have direct contact with nature,5,Biological,Biological,,,,
VP,have family hike,3,Recreational,Recreational,,,,
VP,have few hiking track,4,Recreational,Recreational,,,,
VP,have good hiking experience,4,Recreational,Recreational,,,,
VP,have great landscape,3,Aesthetic,Aesthetic,,,,
VP,have great time as family,5,Social,Social,,,,
VP,have great view,3,Aesthetic,Aesthetic,,,,
VP,have grotto and chapel,4,Identity,Identity,,,,
VP,have hard hike,3,Recreational,Recreational,,,,
VP,have high mountain trail,4,Recreational,Recreational,,,,
VP,have hike,2,Recreational,Recreational,,,,
VP,have incredible trail,3,Recreational,Recreational,,,,
VP,have kid,2,Social,Social,,,,
VP,have lagoon,2,Identity,Identity,,,,
VP,have large number of lagoon,5,Biological,Biological,,,,
VP,have local friend,3,Social,Social,,,,
VP,have lot of exotic place,5,Identity,Identity,,,,
VP,have lunch,2,Social,Social,,,,Y
VP,have many cathedral,3,Cultural,Cultural,,,,
VP,have many lagoon,3,Identity,Identity,,,,
VP,have many lake,3,Identity,Identity,,,,
VP,have many microclimate,3,Identity,Identity,,,,
VP,have many route,3,Recreational,Recreational,,,,
VP,have moment of peace,4,Spiritual,Spiritual,,,,
VP,have nice hiking,3,Recreational,Recreational,,,,
VP,have numerous lake,3,Aesthetic,Aesthetic,,,,
VP,have panoramic view,3,Aesthetic,Aesthetic,,,,
VP,have picnic,2,Recreational,Recreational,,,,
VP,have relaxing and interesting stroll,5,Recreational,Recreational,,,,
VP,have ritual,2,Spiritual,Spiritual,,,,
VP,have rock,2,Identity,Identity,,,,
VP,have same feeling of peace,5,Spiritual,Spiritual,,,,
VP,have sanctuary,2,Spiritual,Spiritual,,,,
VP,have several lagoon,3,Identity,Identity,,,,
VP,have several route,3,Recreational,Recreational,,,,
VP,have several trail,3,Recreational,Recreational,,,,
VP,have spectacular landscape,3,Aesthetic,Aesthetic,,,,
VP,have spectacular view,3,Aesthetic,Aesthetic,,,,
VP,have unique ecosystem,3,Biological,Biological,,,,
VP,have unique view,3,Aesthetic,Aesthetic,,,,
VP,have very unique landscape,4,Identity,Identity,,,,
VP,have viewpoint,2,Aesthetic,Aesthetic,,,,
VP,have wonderful landscape,3,Aesthetic,Aesthetic,,,,
VP,hear bird,2,Biological,Biological,,,,
VP,hear frog,2,Biological,Biological,,,,
VP,hear history,2,Educational,Educational,,,,
NP,herd of llama,3,Biological,Biological,,,,
NP,heritage of humanity,3,Cultural,Cultural,,,,
NP,heritage site,2,Cultural,Cultural,,,,
NP,high altitude,2,Identity,Identity,,,,Y
NP,high altitude lake,3,Identity,Identity,,,,
NP,high altitude nature,3,Identity,Recreational,,"replaced, manually",,
NP,high altitude park,3,Identity,Identity,,,,
NP,high Andes,2,Identity,Recreational,,"replaced, manually",CNP,
NP,high elevation,2,Identity,Identity,,,,Y
NP,high lake,2,Identity,Identity,,,,
NP,high mountain,2,Aesthetic,Aesthetic,,,,Y
NP,high viewpoint,2,Aesthetic,Aesthetic,,,,
VP,hike about,2,Recreational,Recreational,,,,
VP,hike alone,2,Recreational,Recreational,,,,
VP,hike and fish,3,Recreational,Recreational,,,,
VP,hike and fishing,3,Recreational,Recreational,,,,
VP,hike and mountaineering,3,Recreational,Recreational,,,,
VP,hike around,2,Recreational,Recreational,,,CNP,Y
NP,hike around lake,3,Recreational,Recreational,,,CNP,Y
VP,hike at altitude,3,Recreational,Recreational,,,,
VP,hike at high altitude,4,Recreational,Recreational,,,,
VP,hike back,2,Recreational,Recreational,,,,
VP,hike beautiful area,3,Recreational,Recreational,,,,
VP,hike different area,3,Recreational,Recreational,,,,
VP,hike different trail,3,Recreational,Recreational,,,,
VP,hike down,2,Recreational,Recreational,,,,
VP,hike down to lake with family,6,Recreational,Recreational,,,,
VP,hike for,2,Recreational,Recreational,,,,Y
VP,hike here,2,Recreational,Recreational,,,,
VP,hike high elevation,3,Recreational,Recreational,,,,
VP,hike in,2,Recreational,Recreational,,,CNP,Y
NP,hike in mountain,3,Recreational,Recreational,,,,
NP,hike in park,3,Recreational,Recreational,,,,
VP,hike long trail,3,Recreational,Recreational,,,,
VP,hike lot,2,Recreational,Recreational,,,,
VP,hike multiple trail,3,Recreational,Recreational,,,,
NP,hike on trail,3,Recreational,Recreational,,,,
VP,hike only,2,Recreational,Recreational,,,,
VP,hike park,2,Recreational,Recreational,,,,
VP,hike route,2,Recreational,Recreational,,,,
VP,hike through,2,Recreational,Recreational,,,,
NP,hike through forest,3,Recreational,Recreational,,,,
NP,hike through park,3,Recreational,Recreational,,,,
VP,hike too,2,Recreational,Recreational,,,,
VP,hike trail,2,Recreational,Recreational,,,,Y
VP,hike trip,2,Recreational,Recreational,,,,
VP,hike trip with friend,4,Recreational,Recreational,,,,
VP,hike twice,2,Recreational,Recreational,,,,
VP,hike up,2,Recreational,Recreational,,,,
NP,hike up mountain,3,Recreational,Recreational,,,,
VP,hike various trail,3,Recreational,Recreational,,,,
VP,hike very beautiful place,4,Recreational,Recreational,,,,
VP,hike with,2,Recreational,Recreational,,,,
VP,hike with child,3,Social,Social,,,,
NP,hike with guide,3,Recreational,Recreational,,,,
VP,hike without guide,3,Recreational,Recreational,,,,
NP,hiking and camping,3,Recreational,Recreational,,,,
NP,hiking and fishing,3,Recreational,Recreational,,,,
NP,hiking and sport fishing,4,Recreational,Recreational,,,,
NP,hiking and walking,3,Recreational,Recreational,,,,
NP,hiking experience,2,Recreational,Recreational,,,,
NP,hiking route,2,Recreational,Recreational,,,,
NP,hiking tour,2,Recreational,Recreational,,,,
NP,hiking trail,2,Recreational,Recreational,,,,Y
NP,historic center,2,Cultural,Cultural,,,,
NP,historical building,2,Cultural,Cultural,,,CNP,
NP,history of area,3,Cultural,Cultural,,,,
NP,history of people,3,Cultural,Cultural,,,,
NP,horse riding,2,Recreational,Recreational,,,,
NP,horseback riding,2,Recreational,Recreational,,,,
VP,host very diverse fauna,4,Biological,Biological,,,,
NP,huge lagoon,2,Aesthetic,Aesthetic,,,,
NP,humid area,2,Identity,Identity,,,,
NP,humid forest,2,Biological,Biological,,,,
NP,hummingbird and coatis,3,Biological,Biological,,,,
NP,hundred of lagoon,3,Identity,Identity,,,,
NP,hundred of lake,3,Identity,Identity,,,,
NP,icy wind,2,Identity,Aesthetic,,"replaced, second frequent CES",,
NP,ideal for family,3,Social,Social,,,,
NP,ideal for hiking,3,Recreational,Recreational,,,,
NP,ideal for walk,3,Recreational,Recreational,,,,
VP,identify bird,2,Biological,Biological,,,,
NP,immense peace,2,Spiritual,Spiritual,,,,
NP,impressive landscape,2,Aesthetic,Aesthetic,,,,
NP,impressive view,2,Aesthetic,Aesthetic,,,,
NP,inclement weather,2,Identity,Identity,,,,
NP,incomparable beauty,2,Aesthetic,Aesthetic,,,,
NP,incomparable landscape,2,Aesthetic,Aesthetic,,,,
NP,incredible ecosystem,2,Biological,Biological,,,,
NP,incredible hike,2,Recreational,Recreational,,,,
NP,incredible hiking,2,Recreational,Recreational,,,,
NP,incredible lagoon,2,Aesthetic,Aesthetic,,,,
NP,incredible lake,2,Aesthetic,Aesthetic,,,,
NP,incredible landscape,2,Aesthetic,Aesthetic,,,,Y
NP,incredible park,2,Identity,Identity,,,,
NP,incredible place,2,Aesthetic,Aesthetic,,,,Y
NP,incredible scenery,2,Aesthetic,Aesthetic,,,,
NP,incredible sight,2,Aesthetic,Aesthetic,,,,
NP,incredible trail,2,Recreational,Recreational,,,,
NP,incredible view,2,Aesthetic,Aesthetic,,,,Y
NP,incredible vista,2,Aesthetic,Aesthetic,,,,
NP,incredible walk,2,Recreational,Recreational,,,,
NP,indescribable beauty,2,Aesthetic,Aesthetic,,,,
NP,indescribable landscape,2,Aesthetic,Aesthetic,,,,
NP,inner peace,2,Spiritual,Spiritual,,,,
VP,inspire peace,2,Spiritual,Spiritual,,,,
VP,inspire tranquility,2,Spiritual,Spiritual,,,,
NP,interesting bird,2,Biological,Biological,,,,
NP,interesting flora,2,Biological,Biological,,,,
NP,interesting landscape,2,Aesthetic,Aesthetic,,,,
NP,interesting plant,2,Biological,Biological,,,,
NP,international importance,2,Identity,Cultural,,"replaced, manually",,
NP,international recognition,2,Identity,Identity,,,,
VP,invite for perfect spiritual connection,5,Spiritual,Spiritual,,,,
NP,jagged mountain,2,Identity,Identity,,,,
NP,jewel of nature,3,Aesthetic,Aesthetic,,,,
VP,join friend,2,Social,Social,,,,
NP,kid and family,3,Social,Social,,,,
VP,know local wildlife,3,Biological,Biological,,,,
NP,lagoon and bird,3,Biological,Biological,,,,
NP,lagoon and forest,3,Biological,Biological,,,,
NP,lagoon and landscape,3,Aesthetic,Aesthetic,,,,
NP,lagoon and llama,3,Biological,Biological,,,CNP,
NP,lagoon and mountain,3,Aesthetic,Aesthetic,,,,
NP,lagoon and nature,3,Aesthetic,Aesthetic,Y,,,
NP,lagoon and nature,3,Biological,Aesthetic,Y,"added, second frequent CES",,
NP,lagoon and stream,3,Identity,Identity,,,,
NP,lagoon and trail,3,Identity,Identity,,,,
NP,lagoon and waterfall,3,Aesthetic,Aesthetic,,,,
NP,lagoon and wetland,3,Aesthetic,Aesthetic,Y,,,
NP,lagoon and wetland,3,Biological,Aesthetic,Y,"added, second frequent CES",,
NP,lagoon mountain,2,Identity,Identity,,,,
NP,lake and lagoon,3,Identity,Identity,,,,
NP,lake and landscape,3,Aesthetic,Aesthetic,,,,
NP,lake and mountain,3,Aesthetic,Aesthetic,,,,Y
NP,lake and plant,3,Biological,Biological,,,,
NP,lake and pond,3,Identity,Identity,,,,
NP,lake and river,3,Identity,Identity,,,,
NP,lake and stream,3,Identity,Identity,,,,
NP,lake and water,3,Aesthetic,Aesthetic,,,,
NP,lake and waterfall,3,Aesthetic,Aesthetic,,,,
VP,lake for trout fishing,4,Recreational,Recreational,,,,
NP,landscape and ecosystem,3,Aesthetic,Aesthetic,Y,,,
NP,landscape and ecosystem,3,Biological,Aesthetic,Y,"added, second frequent CES",,
NP,landscape and lagoon,3,Identity,Identity,,,,
NP,landscape and nature,3,Aesthetic,Aesthetic,,,,
NP,landscape and vegetation,3,Biological,Biological,,,,
NP,landscape and view,3,Aesthetic,Aesthetic,,,,
NP,landscape between mountain,3,Aesthetic,Aesthetic,,,,
NP,landscape of lagoon,3,Aesthetic,Aesthetic,,,,
NP,landscape of mountain,3,Identity,Identity,,,,
NP,landscape of nature,3,Aesthetic,Aesthetic,,,,
NP,landscape of paramo,3,Aesthetic,Aesthetic,,,CNP,
NP,large hummingbird,2,Biological,Biological,,,,
NP,large lagoon,2,Identity,Identity,,,,
NP,large lake,2,Identity,Identity,,,,
VP,learn about different altitude,4,Educational,Educational,,,,
VP,learn about ecosystem,3,Educational,Educational,,,,
VP,learn about ecuadorian geology,4,Educational,Educational,,,CNP,
VP,learn about flora,3,Educational,Educational,,,,
VP,learn about history,3,Educational,Educational,,,,
VP,learn about park,3,Educational,Educational,,,,
VP,learn to fly fish,4,Educational,Educational,,,,
VP,leave civilisation,2,Spiritual,Spiritual,,,,
VP,listen to bird,3,Biological,Biological,,,,
VP,listen to silence,3,Spiritual,Spiritual,,,,
VP,listen to sound of bird,5,Biological,Biological,,,,
NP,little bird,2,Biological,Biological,,,,
NP,little fauna,2,Biological,Biological,,,,
NP,little lake,2,Identity,Identity,,,,
NP,little oxygen,2,Identity,Identity,,,,
NP,little plant,2,Biological,Biological,,,,
VP,live local community,3,Social,Social,,,,
NP,llama along way,3,Biological,Biological,,,,
NP,llama and alpaca,3,Biological,Biological,,,CNP,
NP,llama by side,3,Biological,Biological,,,CNP,
NP,llama grazing,2,Biological,Biological,,,,
NP,llama in wild,3,Biological,Biological,,,CNP,
NP,llama or vicu,3,Biological,Biological,,,CNP,
VP,load with good energy,4,Spiritual,Spiritual,,,,
NP,local flora,2,Biological,Biological,,,,
NP,local friend,2,Social,Social,,,,
NP,long excursion,2,Recreational,Recreational,,,,
NP,long hike,2,Recreational,Recreational,,,,Y
NP,long route,2,Recreational,Recreational,,,,
NP,long trail,2,Recreational,Recreational,,,,
NP,long walk,2,Recreational,Recreational,,,,Y
VP,look for bird,3,Recreational,Recreational,Y,,,
VP,look for bird,3,Biological,Recreational,Y,"added, second frequent CES",,
VP,look for direct contact with nature,6,Spiritual,Spiritual,,,,
VP,look for great hike,4,Recreational,Recreational,,,,
VP,look for little peace,4,Spiritual,Spiritual,,,,
VP,look for quiet place,4,Spiritual,Spiritual,,,,
VP,look like postcard,3,Aesthetic,Aesthetic,,,,
NP,lot of bird,3,Biological,Biological,,,,
NP,lot of birdlife,3,Biological,Biological,,,,
NP,lot of flora,3,Biological,Biological,,,,
NP,lot of fog,3,Identity,Identity,,,,
NP,lot of hummingbird,3,Biological,Biological,,,,
NP,lot of lagoon,3,Aesthetic,Aesthetic,,,,
NP,lot of lake,3,Identity,Identity,,,,
NP,lot of llama,3,Biological,Biological,,,,
NP,lot of peace,3,Spiritual,Spiritual,,,,
NP,lot of photo,3,Aesthetic,Aesthetic,,,,
NP,lot of vegetation,3,Biological,Biological,,,,
NP,lot of wildlife,3,Biological,Biological,,,,
VP,love fishing,2,Recreational,Recreational,,,,
VP,love hike,2,Recreational,Recreational,,,,
VP,love landscape,2,Aesthetic,Aesthetic,,,,
VP,love peace,2,Spiritual,Spiritual,,,,
VP,love view in peaceful place,5,Aesthetic,Aesthetic,,,,
NP,lovely area,2,Aesthetic,Aesthetic,,,,
NP,lovely hike,2,Recreational,Recreational,,,,
NP,lovely lake,2,Aesthetic,Aesthetic,,,,
NP,lovely little lake,3,Aesthetic,Aesthetic,,,,
NP,lovely national park,3,Aesthetic,Aesthetic,,,,
NP,lovely park,2,Aesthetic,Aesthetic,,,,
NP,lovely scenery,2,Aesthetic,Aesthetic,,,,
NP,lovely view,2,Aesthetic,Aesthetic,,,,
NP,lovely walk,2,Recreational,Recreational,,,,
NP,low cloud,2,Identity,Identity,,,,
NP,lush vegetation,2,Biological,Biological,,,,
NP,magic of nature,3,Spiritual,Spiritual,,,,
NP,magic place,2,Spiritual,Spiritual,,,,
NP,magical landscape,2,Aesthetic,Aesthetic,,,,
NP,magical place,2,Aesthetic,Spiritual,Y,"added, manually",,Y
NP,magical place,2,Spiritual,Spiritual,Y,,,Y
NP,magnificent Andes,2,Aesthetic,Aesthetic,Y,,CNP,
NP,magnificent Andes,2,Identity,Aesthetic,Y,"added, second frequent CES",CNP,
NP,magnificent mountain,2,Aesthetic,Aesthetic,,,,
NP,magnificent national park,3,Aesthetic,Aesthetic,,,,
NP,magnificent place,2,Aesthetic,Aesthetic,,,,
NP,magnificent view,2,Aesthetic,Aesthetic,,,,
NP,majestic lagoon,2,Aesthetic,Aesthetic,,,,
NP,majestic landscape,2,Aesthetic,Aesthetic,,,,
NP,majestic mountain,2,Aesthetic,Aesthetic,,,,
NP,majestic place,2,Aesthetic,Aesthetic,,,,
VP,make campfire,2,Recreational,Recreational,,,,
VP,make for perfect solo hiking,5,Recreational,Recreational,,,,
VP,make friend,2,Social,Social,,,,
VP,make new friend,3,Social,Social,,,,
NP,many animal,2,Biological,Biological,,,,
NP,many bird,2,Biological,Biological,,,,
NP,many different specie,3,Biological,Biological,,,,
NP,many flower,2,Biological,Biological,,,,
NP,many hiking trail,3,Recreational,Recreational,,,,
NP,many hummingbird,2,Biological,Biological,,,,
NP,many lagoon,2,Biological,Biological,,,,Y
NP,many lake,2,Aesthetic,Identity,Y,"replaced, manually",,Y
NP,many lake,2,Identity,Identity,Y,"replaced, manually",,Y
NP,many llama,2,Biological,Biological,,,CNP,
NP,many microclimate,2,Aesthetic,Aesthetic,,,,
NP,many outdoor activity,3,Recreational,Recreational,,,,
NP,many photo,2,Aesthetic,Aesthetic,,,,
NP,many picture,2,Aesthetic,Aesthetic,,,,
NP,many route,2,Recreational,Recreational,,,,
NP,many small lake,3,Identity,Identity,,,,
NP,many specie,2,Biological,Biological,,,,
NP,many trail,2,Recreational,Recreational,,,,Y
NP,many waterfall,2,Aesthetic,Aesthetic,,,,
NP,marked trail,2,Recreational,Recreational,,,,
VP,meet andean moorland,3,Identity,Identity,,,CNP,
VP,meet deer,2,Biological,Biological,,,,
VP,meet exotic landscape,3,Aesthetic,Aesthetic,,,,
VP,meet llama,2,Biological,Biological,,,CNP,
VP,meet other kind of people,5,Social,Social,,,,
VP,meet people,2,Social,Social,,,,
VP,meet people on way,4,Social,Social,,,,
VP,meet with family,3,Social,Social,,,,
VP,meet wonderful people,3,Social,Social,,,,
NP,memorable hike,2,Recreational,Recreational,,,,
NP,middle of mountain,3,Aesthetic,Aesthetic,,,,
NP,middle of nature,3,Spiritual,Spiritual,,,,
NP,migratory bird,2,Biological,Biological,,,,
NP,miniature forest,2,Identity,Identity,,,,
NP,moderate hike,2,Recreational,Recreational,,,,
NP,moment of peace,3,Spiritual,Spiritual,,,,
NP,moment with family,3,Social,Social,,,,
NP,moment with friend,3,Social,Social,,,,
NP,mother earth,2,Identity,Identity,,,,
NP,mountain and cloud,3,Aesthetic,Aesthetic,,,,
NP,mountain and lagoon,3,Identity,Identity,,,,
NP,mountain and lake,3,Identity,Identity,,,,Y
NP,mountain and trail,3,Recreational,Recreational,,,,
NP,mountain ecosystem,2,Biological,Biological,,,,
NP,mountain forest,2,Biological,Biological,,,,
NP,mountain lake,2,Aesthetic,Aesthetic,,,,
NP,mountain landscape,2,Aesthetic,Aesthetic,,,,
NP,mountain range,2,Identity,Identity,,,,Y
NP,mountain scenery,2,Aesthetic,Aesthetic,,,,
NP,mountain trout,2,Biological,Biological,,,CNP,
NP,mountain view,2,Aesthetic,Aesthetic,,,,
NP,mountain vista,2,Aesthetic,Aesthetic,,,,
NP,much beauty,2,Aesthetic,Aesthetic,,,,
NP,much peace,2,Spiritual,Spiritual,,,,
NP,multiple lagoon,2,Identity,Identity,,,,
NP,multiple trail,2,Recreational,Recreational,,,,
NP,mystical experience,2,Spiritual,Spiritual,,,,
NP,mystical place,2,Spiritual,Spiritual,,,,
NP,national and international title,4,Cultural,Cultural,,,,
NP,national reserve,2,Identity,Identity,,,,
NP,national treasure,2,Identity,Identity,,,CNP,
NP,native fauna,2,Biological,Biological,,,,
NP,native polylepis,2,Biological,Biological,,,CNP,
NP,natural beauty,2,Aesthetic,Aesthetic,,,,Y
NP,natural diversity,2,Identity,Identity,,,,
NP,natural environment,2,Biological,Biological,,,,
NP,natural habitat,2,Biological,Biological,,,,
NP,natural heritage,2,Identity,Identity,Y,,,
NP,natural heritage,2,Educational,Identity,Y,"added, second frequent CES",,
NP,natural history,2,Educational,Educational,,,,
NP,natural lagoon,2,Aesthetic,Aesthetic,,,,
NP,natural lake,2,Aesthetic,Aesthetic,,,,
NP,natural landscape,2,Aesthetic,Aesthetic,,,,
NP,natural paradise,2,Aesthetic,Aesthetic,,,,
NP,natural park,2,Identity,Identity,,,,Y
NP,natural reserve,2,Identity,Identity,,,,
NP,natural vegetation,2,Biological,Biological,,,,
NP,natural wonder,2,Identity,Identity,,,,Y
NP,nature and landscape,3,Aesthetic,Aesthetic,,,,
NP,nature and peace,3,Spiritual,Spiritual,,,,
NP,nature reserve,2,Biological,Biological,,,,
NP,new specie,2,Biological,Biological,,,,
NP,nice day trip,3,Recreational,Recreational,,,,
NP,nice hike,2,Recreational,Recreational,,,,
NP,nice hiking trail,3,Recreational,Recreational,,,,
NP,nice landscape,2,Aesthetic,Aesthetic,,,,
NP,nice rock formation,3,Identity,Identity,,,,
NP,nice scenery,2,Aesthetic,Aesthetic,,,,
NP,nice tour,2,Recreational,Recreational,,,,
NP,nice trail,2,Recreational,Recreational,,,,
NP,nice view,2,Aesthetic,Aesthetic,,,,Y
NP,nice walk,2,Recreational,Recreational,,,,Y
NP,number of lagoon,3,Identity,Identity,,,,
NP,number of lake,3,Identity,Identity,,,,
NP,number of waterfall,3,Aesthetic,Aesthetic,,,,
NP,numerous lake,2,Identity,Identity,,,,
VP,observe animal,2,Biological,Biological,,,,
VP,observe beautiful bird,3,Biological,Biological,,,,
VP,observe bird,2,Biological,Biological,,,,
VP,observe interesting plant,3,Biological,Biological,,,,
VP,observe lagoon,2,Identity,Identity,,,,
VP,observe landscape,2,Aesthetic,Aesthetic,,,,
VP,observe magic of nature in complete silence,7,Spiritual,Spiritual,,,,
VP,observe nature,2,Biological,Biological,,,,
VP,offer quiet relaxation,3,Spiritual,Spiritual,,,,
