Category,Phrase,CES,Multiple CES,CNP-specific
VP,enjoy sand boarding,Recreational,, 
VP,enjoy scenery,Aesthetic,,CNP 
VP,enjoy scenic drive,Aesthetic,, 
VP,enjoy scenic vista,Aesthetic,, 
VP,enjoy sea life,Biological,, 
VP,enjoy serenity,Spiritual,, 
VP,enjoy short drive,Recreational,, 
VP,enjoy short walk,Recreational,, 
VP,enjoy sight,Aesthetic,, 
VP,enjoy silence,Spiritual,,CNP 
VP,enjoy sledding,Recreational,, 
VP,enjoy slow drive,Recreational,, 
VP,enjoy small museum,Educational,, 
VP,enjoy solemnity,Spiritual,, 
VP,enjoy solitude,Spiritual,,CNP 
VP,enjoy some beautiful scenery,Aesthetic,, 
VP,enjoy some quiet time,Spiritual,, 
VP,enjoy song of bird,Biological,,CNP
VP,enjoy sound,Aesthetic,1, 
VP,enjoy sound,Recreational,2, 
VP,enjoy sound,Spiritual,3, 
VP,enjoy sound,Spiritual,3, 
VP,enjoy sound of nature,Spiritual,, 
VP,enjoy sound of water,Spiritual,, 
,enjoy spectacular view,Aesthetic,,
VP,enjoy splendor,Aesthetic,, 
VP,enjoy starry sky,Aesthetic,, 
VP,enjoy stream,Spiritual,, 
VP,enjoy stunning cliff,Aesthetic,, 
VP,enjoy sublime charm,Spiritual,,CNP
VP,enjoy sun,Recreational,, 
VP,enjoy sunrise,Aesthetic,, 
VP,enjoy sunset,Aesthetic,, 
VP,enjoy swimming,Recreational,, 
VP,enjoy this attraction,Aesthetic,1, 
VP,enjoy this attraction,Identity,2, 
VP,enjoy this beautiful place,Aesthetic,, 
VP,enjoy this historic district,Cultural,, 
VP,enjoy this national treasure,Identity,, 
VP,enjoy this natural wonder,Aesthetic,, 
VP,enjoy this tranquil,Spiritual,, 
VP,enjoy this treasure,Aesthetic,, 
VP,enjoy this trip,Recreational,, 
VP,enjoy this view,Aesthetic,, 
VP,enjoy this walk,Recreational,, 
VP,enjoy tour,Recreational,,CNP 
VP,enjoy tour with unique landscape,Identity,1,CNP
VP,enjoy tour with unique landscape,Educational,2,CNP
VP,enjoy trail,Recreational,,CNP 
VP,enjoy tranquility,Spiritual,, 
VP,enjoy tree,Aesthetic,1, 
VP,enjoy tree,Biological,2, 
VP,enjoy trip,Recreational,,CNP 
VP,enjoy unique experience,Identity,1, 
VP,enjoy unique experience,Recreational,2, 
VP,enjoy unique landscape,Recreational,,CNP
VP,enjoy unique scenery,Aesthetic,,CNP 
VP,enjoy unique view,Aesthetic,,CNP
VP,enjoy valley,Aesthetic,, 
VP,enjoy view,Aesthetic,,CNP 
,enjoy view from top,Aesthetic,,
VP,enjoy vista,Aesthetic,, 
VP,enjoy walk,Recreational,,CNP 
VP,enjoy waterfall,Aesthetic,, 
VP,enjoy weather,Recreational,,CNP
,enjoy wilderness,Aesthetic,1,
,enjoy wilderness,Recreational,2,
VP,enjoy wildlife,Biological,, 
VP,enjoy wind,Spiritual,,CNP
VP,enjoy with beautiful view,Aesthetic,, 
VP,enjoy with family,Social,,CNP 
VP,enjoy with friend,Social,,CNP
VP,enjoy with people,Social,,CNP
VP,enjoy wonder,Spiritual,, 
,enjoy wonderful view,Aesthetic,,
NP,enjoyable hike,Recreational,, 
NP,enjoyable walk,Recreational,, 
NP,enormous tree,Identity,1, 
NP,enormous tree,Biological,2, 
VP,enrich soul,Spiritual,,CNP
VP,enter cave,Recreational,, 
VP,enter refuge of spiritual peace,Spiritual,,CNP
VP,enter river,Recreational,, 
VP,enter trail,Recreational,, 
VP,enter tunnel,Recreational,, 
VP,enter valley,Aesthetic,1, 
VP,enter valley,Recreational,2, 
VP,enter water,Recreational,, 
NP,epic view,Aesthetic,, 
VP,erode rock,Identity,, 
VP,escape city,Recreational,,CNP
VP,escape from,Spiritual,,CNP
NP,escape from city,Spiritual,,CNP 
VP,escape from crowd,Spiritual,, 
VP,escape from everyday life,Spiritual,,CNP
NP,evening program,Recreational,, 
NP,evergreen cloud forest,Biological,,CNP
NP,evergreen tree,Biological,, 
VP,exceed my expectation,Aesthetic,, 
NP,excellent hike,Recreational,, 
NP,excellent hiking,Recreational,,CNP 
NP,excellent lagoon,Aesthetic,1,CNP
NP,excellent lagoon,Identity,2,CNP
NP,excellent landscape,Aesthetic,,CNP 
NP,excellent nature,Aesthetic,,CNP 
NP,excellent photo,Aesthetic,, 
NP,excellent photo opportunity,Aesthetic,, 
NP,excellent scenery,Aesthetic,,CNP 
NP,excellent site,Aesthetic,,CNP 
NP,excellent trail,Recreational,, 
NP,excellent view,Aesthetic,,CNP 
NP,excellent walk,Recreational,,CNP 
NP,exceptional landscape,Aesthetic,,CNP 
NP,exceptional place,Aesthetic,,CNP 
NP,exceptional site,Identity,,CNP 
NP,exceptional view,Aesthetic,, 
NP,exotic bird,Biological,,CNP 
NP,exotic landscape,Aesthetic,1,CNP 
NP,exotic landscape,Identity,2,CNP 
NP,exotic place,Identity,,CNP 
NP,expansive view,Aesthetic,, 
VP,experience color,Aesthetic,, 
VP,experience desert,Identity,, 
VP,experience grandeur,Aesthetic,, 
VP,experience lake,Recreational,, 
VP,experience nature,Biological,, 
VP,experience paramo,Recreational,,CNP
VP,experience peace,Spiritual,, 
VP,experience peaceful tranquility,Spiritual,,CNP
VP,experience piece of history,Cultural,, 
VP,experience rain forest,Biological,, 
VP,experience silence,Spiritual,, 
VP,experience sunrise,Aesthetic,, 
VP,experience sunset,Aesthetic,, 
VP,experience this hike,Recreational,, 
VP,experience this part of history,Cultural,, 
VP,experience this place,Aesthetic,, 
VP,experience view,Aesthetic,, 
VP,experience wonder,Spiritual,, 
VP,explain about history,Educational,1, 
VP,explain about history,Cultural,2, 
VP,explain beauty,Aesthetic,, 
VP,explain ecology,Educational,, 
VP,explain ecosystem,Educational,, 
VP,explain formation,Educational,, 
VP,explain geology,Educational,, 
VP,explain history,Educational,,CNP 
VP,explain history of cave,Educational,, 
VP,explain some of history,Educational,, 
VP,explain unique ecology,Educational,,CNP
,explore along river,Recreational,,
,explore along way,Recreational,,
VP,explore area,Recreational,, 
VP,explore around area,Recreational,, 
VP,explore around fall,Recreational,, 
VP,explore around ground,Recreational,, 
VP,explore around lake,Recreational,, 
VP,explore around river,Recreational,, 
VP,explore around stream,Recreational,, 
VP,explore around waterfall,Recreational,, 
VP,explore beach,Recreational,, 
VP,explore beauty,Aesthetic,, 
,explore by bike,Recreational,,
,explore by kayak,Recreational,,
VP,explore cabin,Recreational,, 
VP,explore canyon,Recreational,, 
VP,explore cave,Recreational,, 
VP,explore cavern,Recreational,, 
VP,explore church,Spiritual,, 
VP,explore dune,Recreational,, 
VP,explore historic building,Cultural,, 
VP,explore in peace,Spiritual,, 
VP,explore island,Recreational,, 
VP,explore its history,Cultural,, 
VP,explore lagoon,Recreational,,CNP
VP,explore lake,Recreational,, 
VP,explore mountain,Recreational,, 
VP,explore nature,Recreational,,CNP 
VP,explore of many trail,Recreational,,CNP
VP,explore old cabin,Recreational,, 
VP,explore on bike,Recreational,, 
VP,explore on foot,Recreational,, 
VP,explore park,Recreational,,CNP 
VP,explore rainforest,Recreational,, 
VP,explore rock,Recreational,, 
VP,explore some history,Educational,, 
VP,explore trail,Recreational,, 
VP,explore valley,Recreational,, 
VP,explore wilderness,Biological,, 
VP,explore with child,Social,, 
VP,explore with friend,Social,,CNP
VP,expose tree root,Biological,, 
VP,express beauty,Aesthetic,, 
NP,exquisite trout,Recreational,,CNP
NP,extended family,Social,, 
NP,extraordinary beauty,Aesthetic,,CNP 
NP,extraordinary landscape,Aesthetic,,CNP 
NP,extraordinary place,Aesthetic,,CNP 
NP,fabulous drive,Aesthetic,, 
NP,fabulous hike,Recreational,, 
NP,fabulous hiking,Recreational,,CNP 
NP,fabulous scenery,Aesthetic,, 
NP,fabulous view,Aesthetic,,CNP 
NP,fairy tale,Spiritual,,CNP 
NP,fall color,Aesthetic,, 
NP,fall foliage,Biological,, 
NP,family activity,Social,, 
NP,family adventure,Social,, 
NP,family and friend,Social,,CNP 
NP,family and kid,Social,,CNP 
NP,family camping,Social,, 
NP,family day,Social,,CNP 
NP,family excursion,Social,,CNP 
NP,family experience,Social,, 
NP,family friendly hike,Social,, 
NP,family fun,Social,, 
NP,family hike,Social,,CNP 
NP,family memory,Social,, 
NP,family of deer,Biological,, 
NP,family or friend,Social,,CNP 
NP,family outing,Social,,CNP 
NP,family photo,Social,, 
NP,family picnic,Social,, 
NP,family picture,Social,, 
NP,family reunion,Social,, 
NP,family road trip,Social,, 
NP,family time,Social,, 
NP,family tradition,Social,, 
NP,family trip,Social,,CNP 
NP,family vacation,Social,,CNP 
NP,family walk,Social,,CNP 
NP,family with child,Social,, 
NP,family with kid,Social,, 
NP,famous geyser,Identity,, 
NP,fantastic drive,Recreational,, 
NP,fantastic hike,Recreational,,CNP 
NP,fantastic landscape,Aesthetic,,CNP 
NP,fantastic photo,Aesthetic,, 
NP,fantastic scenery,Aesthetic,,CNP 
NP,fantastic sight,Aesthetic,, 
NP,fantastic view,Aesthetic,,CNP 
NP,fantastic vista,Aesthetic,, 
NP,farm museum,Educational,, 
NP,fascinating flora,Aesthetic,,CNP 
NP,fascinating history,Cultural,, 
NP,fascinating place,Aesthetic,,CNP 
NP,fauna and flora,Biological,,CNP 
NP,favorite drive,Recreational,, 
NP,favorite hike,Recreational,, 
NP,favorite national park,Identity,,CNP 
NP,favorite place,Recreational,, 
NP,favorite spot,Recreational,, 
NP,favorite spot in Ecuador,Recreational,1,CNP
NP,favorite spot in Ecuador,Biological,2,CNP
NP,favorite trail,Recreational,, 
NP,favorite view,Aesthetic,, 
NP,favourite place,Recreational,,CNP 
NP,favourite place in Ecuador,Identity,1,CNP
NP,favourite place in Ecuador,Biological,2,CNP
NP,feast for eye,Aesthetic,,CNP
VP,feature wildlife,Biological,,CNP
VP,feel altitude,Spiritual,,CNP
VP,feel at peace,Spiritual,, 
VP,feel breeze,Aesthetic,, 
VP,feel cold air,Spiritual,, 
VP,feel connected to nature,Spiritual,, 
VP,feel energy,Spiritual,, 
VP,feel freedom,Spiritual,,CNP
VP,feel great sense of accomplishment,Spiritual,, 
VP,feel height,Identity,1,CNP
VP,feel height,Recreational,2,CNP
VP,feel history,Cultural,, 
VP,feel immense power,Spiritual,, 
VP,feel in awe,Spiritual,, 
VP,feel in contact with nature,Spiritual,,CNP
VP,feel indian spirit,Spiritual,, 
VP,feel inner peace,Spiritual,,CNP
VP,feel like another planet,Aesthetic,, 
VP,feel like ant,Spiritual,, 
VP,feel lot of peace,Spiritual,,CNP
VP,feel more at peace,Spiritual,, 
VP,feel more relaxed,Spiritual,, 
VP,feel more secluded,Spiritual,, 
VP,feel nature,Spiritual,,CNP 
VP,feel of accomplishment,Spiritual,, 
VP,feel peace,Spiritual,,CNP 
VP,feel power,Spiritual,, 
VP,feel quite accomplished,Spiritual,, 
VP,feel sense of isolation,Spiritual,,CNP
VP,feel sense of peace,Spiritual,, 
VP,feel sense of wonder,Spiritual,, 
VP,feel serenity,Spiritual,, 
VP,feel so accomplished,Spiritual,, 
VP,feel so blessed,Spiritual,, 
VP,feel so peaceful,Spiritual,, 
VP,feel so relaxed,Spiritual,, 
VP,feel so small,Spiritual,, 
VP,feel solitude,Spiritual,, 
VP,feel special energy,Spiritual,,CNP
VP,feel timelessness,Spiritual,,CNP
VP,feel very accomplished,Spiritual,, 
VP,feel very blessed,Spiritual,, 
VP,feel very peaceful,Spiritual,, 
VP,feel very refreshing,Spiritual,, 
VP,feel very surreal,Spiritual,, 
NP,feeling of peace,Spiritual,,CNP 
NP,feeling of solitude,Spiritual,, 
NP,female elk,Biological,, 
NP,female moose,Biological,, 
NP,fern and moss,Biological,,CNP 
NP,few alligator,Biological,, 
NP,few bear,Biological,, 
NP,few bird,Biological,,CNP 
NP,few bison,Biological,, 
NP,few deer,Biological,, 
NP,few elk,Biological,, 
NP,few overlook,Aesthetic,1, 
NP,few overlook,Identity,2, 
NP,few overlook,Recreational,3, 
NP,few overlook,Recreational,3, 
NP,fiery furnace,Identity,, 
VP,fill with flower,Biological,, 
VP,fill with history,Cultural,, 
VP,find animal,Biological,, 
VP,find bear,Biological,,CNP 
VP,find chapel,Spiritual,,CNP
VP,find elk,Biological,, 
VP,find fossil,Educational,, 
VP,find inner peace,Spiritual,,CNP
VP,find inspiration,Spiritual,, 
VP,find lot of wildlife,Biological,, 
VP,find many insect,Biological,,CNP
VP,find mule deer,Biological,, 
VP,find peace,Spiritual,,CNP 
VP,find peace with family,Social,,CNP
VP,find salamander,Biological,, 
VP,find small forest,Identity,,CNP
VP,find some solitude,Spiritual,, 
VP,find unique place,Identity,,CNP
VP,find wildlife,Biological,, 
VP,finish hike,Recreational,,CNP 
VP,finish loop,Recreational,,CNP
VP,finish trail,Recreational,,CNP
VP,finish walk,Recreational,,CNP
NP,fir tree,Biological,, 
NP,first hike,Recreational,,CNP 
VP,fish and camp,Recreational,,CNP
VP,fish and hike,Recreational,,CNP
VP,fish at,Recreational,,CNP 
VP,fish for,Recreational,,CNP 
VP,fish in lagoon,Biological,,CNP
VP,fish with friend,Social,,CNP
NP,fishing activity,Recreational,,CNP 
NP,fishing and bird watching,Biological,,CNP
NP,fishing and hiking,Recreational,,CNP 
NP,fishing day,Recreational,,CNP 
NP,fishing for trout,Recreational,,CNP 
NP,fishing place,Recreational,1,CNP 
NP,fishing place,Biological,2,CNP 
NP,fishing trip,Recreational,,CNP 
NP,flat walk,Recreational,, 
NP,flora and fauna,Biological,,CNP 
NP,flora and vegetation,Biological,,CNP
NP,flower and bird,Biological,,CNP 
NP,flower and plant,Biological,,CNP 
NP,flower and tree,Biological,,CNP 
NP,flower and vegetation,Biological,,CNP 
NP,flower in bloom,Biological,, 
VP,fly fish,Recreational,,CNP
VPNP,fly fishing,Recreational,,CNP
VP,focus on flora,Biological,, 
VP,focus on geology,Biological,, 
VP,focus on history,Educational,, 
VP,focus on human settlement,Cultural,, 
NP,fog and cloud,Identity,,CNP 
NP,fog and rain,Biological,,CNP 
VP,follow trail,Recreational,,CNP 
VP,forage for,Recreational,, 
VP,forage in,Recreational,, 
NP,forest of paper,Biological,,CNP
NP,forest of Polylepis,Biological,,CNP
NP,forest trail,Recreational,, 
NP,forested area,Biological,, 
VP,forget about everyday problem,Spiritual,,CNP
VP,form by erosion,Identity,, 
VP,form by frost,Biological,, 
VP,form by frost weathering,Identity,1, 
VP,form by frost weathering,Biological,2, 
VP,form by glacier,Identity,, 
VP,form by million of year of erosion,Identity,, 
VP,form by nature,Biological,, 
VP,form by volcano,Identity,, 
VP,form by water,Educational,1, 
VP,form by water,Biological,2, 
VP,form ideal landscape for meditation,Spiritual,,CNP
VP,form unique landscape,Aesthetic,1,CNP
VP,form unique landscape,Identity,2,CNP
NP,fossil on display,Educational,, 
NP,fossil talk,Educational,, 
VP,foster spiritual peace,Spiritual,,CNP
VP,free from tension,Spiritual,,CNP
VP,free from tension of city,Spiritual,,CNP
NP,free museum,Recreational,1, 
NP,free museum,Cultural,2, 
NP,freezing at night,Identity,,CNP 
NP,fresh air,Recreational,,CNP 
NP,fresh mountain air,Aesthetic,, 
NP,friend and family,Social,,CNP 
NP,friend or family,Social,,CNP 
NP,friendly people,Social,, 
NP,full bloom,Biological,, 
NP,full moon,Aesthetic,, 
NP,fun activity,Recreational,, 
NP,fun for kid,Social,, 
NP,fun hike,Recreational,,CNP 
NP,future generation,Social,, 
VP,gather with family,Social,, 
NP,gator and bird,Biological,, 
VP,gaze at beauty,Aesthetic,, 
VP,gaze at canyon,Aesthetic,, 
VP,gaze at night,Aesthetic,, 
VP,gaze at star,Aesthetic,1, 
VP,gaze at star,Recreational,2, 
VP,gaze in awe,Aesthetic,, 
VP,gaze in wonder,Aesthetic,, 
VP,gaze into canyon,Recreational,, 
VP,gaze into crater,Aesthetic,1, 
VP,gaze into crater,Recreational,2, 
VP,gaze out at canyon,Aesthetic,, 
VP,gaze out over canyon,Recreational,, 
VP,gaze up at star,Recreational,, 
NP,gem of Ecuador,Identity,,CNP
NP,geologic feature,Educational,, 
NP,geologic formation,Identity,1, 
NP,geologic formation,Educational,2, 
NP,geologic formation,Biological,3, 
NP,geologic formation,Biological,3, 
NP,geologic history,Educational,, 
NP,geologic wonder,Educational,, 
NP,geological diversity,Biological,, 
NP,geological feature,Identity,, 
NP,geological formation,Identity,,CNP 
NP,geological history,Educational,1, 
NP,geological history,Cultural,2, 
NP,geological information,Educational,, 
NP,geological museum,Educational,, 
NP,geological wonder,Identity,, 
NP,geology and history,Cultural,, 
NP,geology museum,Educational,, 
NP,geology talk,Educational,, 
NP,geothermal activity,Educational,, 
NP,geothermal area,Identity,1, 
NP,geothermal area,Biological,2, 
NP,geothermal feature,Identity,, 
NP,geothermal site,Identity,1, 
NP,geothermal site,Biological,2, 
VP,get amazing photo,Aesthetic,, 
VP,get amazing view,Aesthetic,, 
VP,get away from city,Spiritual,,CNP
VP,get away from everyday,Spiritual,,CNP
VP,get away from noise,Spiritual,,CNP
VP,get bird eye view,Aesthetic,, 
VP,get bit of history,Cultural,, 
VP,get bit of isolation,Spiritual,, 
VP,get close look at fall,Recreational,, 
VP,get close look at water,Aesthetic,1, 
VP,get close look at water,Recreational,2, 
,get close to lake,Recreational,,
VP,get close to nature,Spiritual,, 
VP,get different perspective,Educational,, 
VP,get different view,Aesthetic,, 
VP,get down into canyon,Recreational,, 
VP,get education,Educational,, 
VP,get excellent view,Aesthetic,, 
VP,get fantastic view,Aesthetic,, 
VP,get glimpse into past,Spiritual,, 
VP,get glimpse of beauty,Aesthetic,, 
VP,get glimpse of canyon,Aesthetic,, 
VP,get good photo,Aesthetic,, 
VP,get good view,Aesthetic,, 
VP,get great picture,Aesthetic,, 
VP,get great view,Aesthetic,,CNP 
VP,get in touch with nature,Spiritual,,CNP 
VP,get into nature,Spiritual,,CNP 
VP,get into wild,Recreational,,CNP
VP,get lot of picture,Aesthetic,, 
VP,get nice view,Aesthetic,, 
VP,get overview,Educational,, 
VP,get panoramic view,Aesthetic,, 
VP,get photo,Aesthetic,, 
VP,get picture of fall,Aesthetic,, 
VP,get picture of family,Social,, 
VP,get picture of lifetime,Aesthetic,, 
VP,get picture of mountain,Aesthetic,, 
VP,get picture of our family,Social,, 
VP,get picturesque photo,Aesthetic,, 
VP,get some fresh air,Spiritual,, 
VP,get some good picture,Aesthetic,, 
VP,get some great view,Aesthetic,, 
VP,get some peace,Spiritual,, 
VP,get some solitude,Spiritual,, 
VP,get souvenir,Recreational,1, 
VP,get souvenir,Social,2, 
VP,get spectacular view,Aesthetic,, 
VP,get to arch,Recreational,, 
VP,get to beach,Recreational,, 
VP,get to canyon,Recreational,, 
VP,get to cave,Recreational,, 
VP,get to know andean paramo,Educational,,CNP
VP,get to know geography,Educational,,CNP
VP,get to lake,Recreational,, 
VP,get to museum,Educational,, 
VP,get to observation,Recreational,, 
VP,get to summit,Recreational,, 
VP,get to top and view,Aesthetic,, 
VP,get to top of cliff,Recreational,, 
VP,get to top of mountain,Recreational,, 
VP,get to top of rock,Recreational,, 
VP,get to top of summit,Recreational,, 
VP,get to top of tower,Recreational,, 
VP,get to top of trail,Recreational,, 
VP,get to trail,Recreational,, 
VP,get to viewpoint,Aesthetic,1, 
VP,get to viewpoint,Recreational,2, 
VP,get up to top,Recreational,, 
VP,get view,Aesthetic,, 
NP,geyser and mud,Identity,, 
NP,geyser and pool,Identity,, 
NP,geyser and spring,Aesthetic,1, 
NP,geyser and spring,Identity,2, 
NP,geyser and spring,Recreational,3, 
NP,geyser and spring,Recreational,3, 
NP,geyser and spring,Spiritual,4, 
NP,geyser and spring,Spiritual,4, 
NP,geyser and spring,Spiritual,4, 
NP,geyser and spring,Spiritual,4, 
NP,geyser area,Identity,, 
NP,geyser basin,Identity,, 
NP,geyser erupt,Identity,, 
NP,geyser eruption,Identity,, 
NP,giant forest,Identity,, 
NP,giant hummingbird,Biological,,CNP
NP,giant lake,Identity,,CNP 
NP,giant redwood,Biological,, 
NP,giant rock,Identity,1, 
NP,giant rock,Biological,2, 
NP,giant sequoia,Biological,, 
NP,giant sequoia tree,Biological,, 
NP,giant sequoias,Biological,, 
NP,giant tree,Biological,, 
NP,gift of God,Spiritual,,CNP 
VP,give amazing view,Aesthetic,, 
VP,give different view,Aesthetic,, 
VP,give great view,Aesthetic,, 
VP,give history,Educational,, 
VP,give some history,Educational,, 
VP,give spectacular view,Aesthetic,, 
VP,give we lot of history,Cultural,, 
NP,glaci lake,Identity,,CNP 
NP,glacial lagoon,Identity,,CNP
NP,glacial lake,Identity,,CNP 
NP,glacial time,Educational,,CNP
VP,glimpse lot of bird,Biological,,CNP
VP,go around,Recreational,,CNP
VP,go around entire lake,Recreational,, 
VP,go around lake,Recreational,,CNP 
VP,go around loop,Recreational,, 
VP,go around park,Recreational,, 
VP,go as family,Social,,CNP
VP,go at sunrise,Aesthetic,1, 
VP,go at sunrise,Recreational,2, 
VP,go at sunset,Aesthetic,, 
VP,go camping,Recreational,,CNP 
VP,go camping with friend,Recreational,,CNP
VP,go deep into forest for hiking,Recreational,,CNP
VP,go down for walk,Recreational,,CNP
VP,go down into canyon,Recreational,, 
,go down to lake,Recreational,,
VP,go downhill,Recreational,, 
VP,go family,Social,,CNP
VP,go family and friend,Social,,CNP
VP,go fishing,Recreational,,CNP 
VP,go for boat ride,Recreational,, 
VP,go for day hike,Recreational,, 
VP,go for day trip,Recreational,, 
VP,go for hike,Recreational,,CNP 
VP,go for horseback ride,Recreational,, 
VP,go for little walk,Recreational,,CNP
VP,go for long walk,Recreational,,CNP
VP,go for lunch,Recreational,,CNP
VP,go for short hike,Recreational,,CNP
VP,go for sunrise,Spiritual,, 
VP,go for sunset,Aesthetic,, 
VP,go for swim,Recreational,, 
VP,go for walk,Recreational,,CNP 
VP,go for walk with family,Social,,CNP
VP,go for walk with friend,Social,,CNP
VP,go hike,Recreational,, 
VP,go horseback riding,Recreational,, 
VP,go ice skating,Recreational,, 
VP,go into canyon,Recreational,, 
VP,go into park with friend,Social,,CNP
VP,go into water,Recreational,, 
VP,go into wood,Recreational,, 
VP,go off trail,Recreational,, 
VP,go on boat,Recreational,, 
VP,go on boat tour,Recreational,, 
VP,go on day trip,Recreational,,CNP 
VP,go on easy hike,Recreational,, 
VP,go on family trip,Social,,CNP
VP,go on fishing trip,Recreational,,CNP
VP,go on hike,Recreational,,CNP 
VP,go on historic tour,Educational,1, 
VP,go on historic tour,Cultural,2, 
VP,go on long hike,Recreational,, 
VP,go on motorcycle,Recreational,,CNP
VP,go on road trip,Recreational,, 
VP,go on several hike,Recreational,, 
VP,go on shortish hike,Recreational,,CNP
VP,go on skywalk,Recreational,, 
VP,go on superb hike,Recreational,,CNP
VP,go on this hike,Recreational,, 
VP,go on this hike with my son,Social,, 
VP,go on tour,Recreational,, 
VP,go on trail,Recreational,, 
VP,go on vacation,Recreational,1, 
VP,go on vacation,Social,2, 
VP,go out for walk,Recreational,,CNP
VP,go prepared for fishing,Recreational,,CNP
VP,go small museum,Educational,,CNP
VP,go through cave,Recreational,, 
VP,go through sanctuary,Spiritual,,CNP
VP,go through small forest,Recreational,,CNP
VP,go to hike,Recreational,,CNP 
,go to lake,Recreational,,
VP,go to lake for fishing,Recreational,,CNP
VP,go to museum,Educational,1, 
VP,go to museum,Cultural,2, 
VP,go to park with family,Social,,CNP
VP,go to rock climb,Recreational,,CNP
,go to summit,Recreational,,
VP,go to top and view,Aesthetic,1, 
VP,go to top and view,Identity,2, 
VP,go to top of dome,Recreational,, 
VP,go to top of dune,Recreational,, 
VP,go to top of fall,Recreational,, 
VP,go to top of hill,Recreational,, 
VP,go to top of mountain,Recreational,,CNP 
VP,go to top of rock,Recreational,, 
VP,go to top of stair,Recreational,, 
VP,go to top of tower,Recreational,, 
VP,go to top of trail,Recreational,, 
VP,go to top of watchtower,Recreational,, 
VP,go to top of waterfall,Aesthetic,1, 
VP,go to top of waterfall,Recreational,2, 
VP,go to trail,Recreational,, 
VP,go to walk on trail,Recreational,,CNP
VP,go up mountain,Recreational,, 
VP,go up to top,Recreational,, 
VP,go with child,Social,,CNP 
VP,go with family,Social,,CNP 
VP,go with friend,Social,,CNP 
,go with kid,Social,,
VP,go with whole family,Social,,CNP
NP,golden canyon,Identity,, 
NP,golden eagle,Biological,, 
NP,gondola ride,Recreational,, 
NP,good beach,Aesthetic,, 
NP,good day hike,Recreational,, 
NP,good drive,Recreational,, 
NP,good family hike,Social,, 
NP,good fishing,Recreational,,CNP 
NP,good hike,Recreational,,CNP 
NP,good hiking,Recreational,,CNP 
NP,good hiking experience,Recreational,,CNP 
NP,good hiking trail,Recreational,,CNP 
NP,good history,Educational,, 
NP,good landscape,Aesthetic,,CNP 
NP,good memory,Spiritual,, 
NP,good photo,Aesthetic,,CNP 
NP,good photo opportunity,Aesthetic,, 
NP,good photograph,Aesthetic,,CNP 
NP,good picnic,Recreational,1, 
NP,good picnic,Social,2, 
NP,good picture,Aesthetic,,CNP 
NP,good scenery,Aesthetic,, 
NP,good signage,Identity,, 
NP,good sunrise,Aesthetic,, 
NP,good trail,Recreational,,CNP 
NP,good view,Aesthetic,,CNP 
NP,good walk,Recreational,,CNP 
NP,good walking,Recreational,,CNP 
NP,good wildlife,Biological,, 
NP,good workout,Recreational,,CNP 
NP,gorgeous beach,Aesthetic,, 
NP,gorgeous drive,Aesthetic,1, 
NP,gorgeous drive,Recreational,2, 
NP,gorgeous fall,Aesthetic,, 
NP,gorgeous hike,Recreational,, 
NP,gorgeous lake,Aesthetic,, 
NP,gorgeous mountain,Aesthetic,, 
NP,gorgeous national park,Aesthetic,,CNP 
NP,gorgeous nature,Aesthetic,,CNP 
NP,gorgeous park,Aesthetic,,CNP 
NP,gorgeous place,Aesthetic,,CNP 
NP,gorgeous scenery,Aesthetic,,CNP 
NP,gorgeous sunrise,Aesthetic,, 
NP,gorgeous trail,Aesthetic,, 
NP,gorgeous view,Aesthetic,,CNP 
NP,gorgeous vista,Aesthetic,,CNP 
NP,gorgeous waterfall,Aesthetic,, 
VP,grab lunch,Social,, 
NP,granite boulder,Identity,, 
NP,granite cliff,Identity,, 
NP,granite dome,Identity,1, 
NP,granite dome,Biological,2, 
NP,granite formation,Identity,, 
NP,granite mountain,Identity,, 
NP,granite rock,Identity,, 
NP,granite wall,Aesthetic,, 
NP,great adventure,Recreational,,CNP 
NP,great beauty,Aesthetic,,CNP 
NP,great blue heron,Biological,, 
NP,great camping,Recreational,, 
NP,great canyon,Identity,, 
NP,great cave,Identity,, 
NP,great charm,Aesthetic,,CNP
NP,great day hike,Recreational,,CNP 
NP,great day trip,Recreational,, 
NP,great drive,Recreational,, 
NP,great easy hike,Recreational,, 
NP,great exercise,Recreational,, 
NP,great family activity,Social,, 
NP,great family hike,Social,, 
NP,great family vacation,Social,, 
NP,great geyser,Identity,, 
NP,great hike,Recreational,,CNP 
NP,great hiking,Recreational,,CNP 
NP,great hiking trail,Recreational,, 
NP,great history,Cultural,, 
NP,great lake,Aesthetic,, 
NP,great landscape,Aesthetic,,CNP 
NP,great learning,Educational,, 
NP,great learning experience,Educational,, 
NP,great mountain,Aesthetic,,CNP 
NP,great mountain view,Aesthetic,, 
NP,great museum,Educational,, 
NP,great natural wonder,Aesthetic,, 
NP,great panoramic view,Aesthetic,, 
NP,great peace,Spiritual,,CNP 
NP,great photo,Aesthetic,,CNP 
NP,great photo opportunity,Aesthetic,,CNP 
NP,great photography,Aesthetic,, 
NP,great pic,Aesthetic,, 
NP,great picnic,Social,, 
NP,great picnic spot,Aesthetic,, 
NP,great picture,Aesthetic,,CNP 
NP,great picture opportunity,Aesthetic,, 
NP,great place to see wildlife,Biological,, 
NP,great place to take photo,Aesthetic,,CNP 
NP,great place to take picture,Aesthetic,, 
NP,great rock,Aesthetic,1, 
